Provider ID,Agency Name,Street Address,City,State,Zip Code,Total Episodes (non-LUPA),Distinct Beneficiaries (non-LUPA),Average Number of Total Visits Per Episode (non-LUPA),Average Number of Skilled Nursing Visits Per Episode (non-LUPA),Average Number of PT Visits Per Episode (non-LUPA),Average Number of OT Visits Per Episode (non-LUPA),Average Number of  ST Visits Per Episode (non-LUPA),Average Number of Home Health Aide Visits Per Episode (non-LUPA),Average Number of Medical-Social Visits Per Episode (non-LUPA),Total HHA Charge Amount (non-LUPA),Total HHA Medicare Payment Amount (non-LUPA),Total HHA Medicare Standard Payment Amount (non-LUPA),Outlier Payments as a Percent of Medicare Payment Amount (non-LUPA),Total LUPA Episodes,Total HHA Medicare Payment Amount for LUPAs,Average Age,Male Beneficiaries,Female Beneficiaries,Nondual Beneficiaries,Dual Beneficiaries,White Beneficiaries,Black Beneficiaries,Asian Pacific Islander Beneficiaries,Hispanic Beneficiaries,American Indian or Alaska Native Beneficiaries,Other/ Unknown Beneficiaries,Average HCC Score,Percent of Beneficiaries with Atrial Fibrillation,Percent of Beneficiaries with Alzheimer's,Percent of Beneficiaries with Asthma,Percent of Beneficiaries with Cancer,Percent of Beneficiaries with CHF,Percent of Beneficiaries with Chronic Kidney Disease,Percent of Beneficiaries with COPD,Percent of Beneficiaries with Depression,Percent of Beneficiaries with Diabetes,Percent of Beneficiaries with Hyperlipidemia,Percent of Beneficiaries with Hypertension,Percent of Beneficiaries with IHD,Percent of Beneficiaries with Osteoporosis,Percent of Beneficiaries with RA/OA,Percent of Beneficiaries with Schizophrenia,Percent of Beneficiaries with Stroke
17008,JEFFERSON COUNTY HOME CARE,2201 ARLINGTON AVENUE,BESSEMER,AL,35020,133,54,11.6,7.4,2.1,0,0,2.2,0,381870,254504,298575,0,31,10546,66,20,34,,,,48,0,0,0,,2.28,0.07407,0.2037,0.18519,0.12963,0.31481,0.44444,0.16667,0.18519,0.57407,0.44444,,0.2963,0,0.48148,0.27778,0.07407
17009,ALACARE HOME HEALTH & HOSPICE,2970 LORNA ROAD,BIRMINGHAM,AL,35216,12879,6616,18.9,9.2,4.9,1.1,0.3,3.2,0.2,35322557,31341021,39100135,0.4,1293,418139,75,2457,4159,5077,1539,5495,1034,,33,,33,2.26,0.19574,0.32285,0.40311,0.14299,0.45073,0.54943,0.38316,0.39389,0.45118,0.67427,,0.56439,0.13286,0.64631,0.0523,0.12757
17013,GENTIVA HEALTH SERVICES,1239 RUCKER BLVD,ENTERPRISE,AL,36330,1236,612,23.4,8.5,6.6,3.8,0.5,4.1,0,4959795,3519202,4564824,0.8,63,19514,76,228,384,459,153,514,81,0,15,,,1.98,0.17974,0.31209,0.35621,0.12582,0.37418,0.46405,0.32516,0.38235,0.45261,0.66176,,0.51144,0.16503,0.67157,0.05229,0.12745
17014,AMEDISYS HOME HEALTH,68278 MAIN STREET,BLOUNTSVILLE,AL,35031,685,403,21.4,8.2,6.6,3.1,1.3,2.1,0.1,2839579,1906813,2432677,0.2,74,21664,75,135,268,293,110,392,,,,0,,2.18,0.1861,0.3995,0.37965,0.08437,0.48883,0.52357,0.36476,0.46898,0.44417,0.60794,,0.54591,0.12903,0.67246,0.08685,0.1737
17016,SOUTHEAST ALABAMA HOMECARE,804 GLOVER AVENUE,ENTERPRISE,AL,36330,685,362,15.5,8.5,4.2,2.4,0.2,0.1,0.1,3769291,1604675,2097722,0,56,16278,75,151,211,242,120,291,63,,,,,2.01,0.19613,0.28177,0.41989,0.1326,0.44751,0.54144,0.40331,0.35912,0.52486,0.69337,,0.58287,0.14917,0.60773,0.05249,0.15193
17018,GENTIVA HEALTH SERVICES,"3225 RAINBOW STREET, SUITE 256",RAINBOW CITY,AL,35906,2925,1206,20,8.6,7.1,1.9,0.4,2,0.1,10726327,7665312,9932114,0.2,154,45466,75,432,774,823,383,1121,68,,,,,2.31,0.1791,0.36982,0.47347,0.11277,0.4801,0.5257,0.45108,0.41376,0.48507,0.60116,,0.5796,0.12023,0.67413,0.07711,0.16418
17020,AMEDISYS HOME HEALTH CARE,"273 AZALEA ROAD, SUITE 204, BLDG 2",MOBILE,AL,36609,1399,839,15.5,8.3,3.5,1.4,0.8,1.1,0.4,4197214,3170478,4021513,0.7,181,59152,76,295,544,673,166,639,180,,,,,2.09,0.25983,0.33015,0.34446,0.14064,0.48629,0.53397,0.32062,0.27294,0.44815,0.66985,,0.60429,0.11561,0.51251,0.05959,0.13707
17024,SOUTHEAST ALABAMA HOMECARE,"810 HEDSTROM DRIVE, SUITE ONE",DOTHAN,AL,36301,1667,958,17.7,8.7,5.7,2.1,0.8,0.5,0.1,10045509,4173332,5506200,0.4,181,53756,75,369,589,604,354,663,278,,,0,,2.31,0.21503,0.29541,0.34029,0.13987,0.40919,0.56889,0.30793,0.35908,0.51148,0.72651,,0.53862,0.1524,0.64823,0.06263,0.13779
17025,SAAD HEALTHCARE,"1515 UNIVERSITY BLVD, SOUTH",MOBILE,AL,36609,2496,1263,18.7,8.4,5.6,2.7,0.8,1.1,0.1,7858814,6315575,8077864,0.6,267,84255,75,521,742,978,285,835,403,,13,,,2.45,0.20744,0.37846,0.3175,0.13143,0.44656,0.54236,0.30008,0.32858,0.46239,0.6057,,0.53919,0.15598,0.5574,0.05542,0.13143
17026,GENTIVA HEALTH SERVICES,"2200 RIVERCHASE PARKWAY, BUILDING 700",BIRMINGHAM,AL,35244,1728,928,22.9,8.1,7.9,3.1,0.7,3.1,0.1,6992870,5483751,6460164,0.3,142,50086,77,320,608,759,169,598,319,,,0,,2.37,0.18319,0.41703,0.35129,0.13685,0.39978,0.54957,0.31142,0.40625,0.46336,0.70905,,0.53017,0.15733,0.70043,0.07651,0.13362
