provider_id,agency,address,city,state,zip_code,total_episodes,distinct_beneficiaries,total_visits_episode,sn_episode,pt_episode,ot_episode,st_episode,hha_episode,msw_episode,total_charge,medicare_payment,expected_payment,outlier_payment,lupa_episodes,lupa_payment,age,num_male,num_female,non_dual,dual,white,black,asian,hispanic,alaskan,unknown_race,hcc_score,atrial_fib,alzheimer,asthma,cancer,chf,kidney_disease,copd,depression,diabetes,hyperlipidemia,hypertension,ihd,osteoporosis,ra_oa,schizophrenia,stroke
458396,PATHFINDER HOME HEALTH,116-D MEDICAL PARK LANE,HUNTSVILLE,TX,77340,62,45,22.3,11.2,7.7,1.1,0.2,1.8,0.2,201506,200866,218587,5.8,82.65297817240103,37005.32767333738,77,16.0,29.0,294.5755592756049,123.72302541470096,35.0,62.85785306573375,0.0,42.95054822107854,0.0,5.6916133884919144,2.28,0.22221999999999997,0.37778,0.4,0.24444000000000002,0.42222,0.46667,0.37778,0.28889000000000004,0.44443999999999995,0.5777800000000001,0.6981227322404372,0.55556,0.13333,0.64444,0.0,0.11110999999999999
507021,KINDRED AT HOME,22820 EAST APPLEWAY AVENUE,LIBERTY LAKE,WA,99019,2974,2028,18.0,5.1,8.6,2.1,0.7,1.2,0.3,13679565,12285716,11117390,0.2,302.0,139176.0,79,734.0,1294.0,1521.0,507.0,1946.0,16.0,13.0,15.0,22.0,16.0,1.97,0.17899,0.41026,0.30769,0.12179000000000001,0.33629000000000003,0.4359,0.26726,0.42406000000000005,0.34961,0.47928999999999994,0.6981227322404372,0.38955,0.14842,0.56509,0.07742,0.10947
743198,JAIMEL HEALTH CARE SERVICES LLC,9950 WESTPARK DRIVE SUITE 404,HOUSTON,TX,77063,44,11,17.8,12.0,2.5,0.5,0.0,2.8,0.1,156323,103620,106110,1.6,82.65297817240103,37005.32767333738,73,148.88794661476436,240.74767134714307,294.5755592756049,123.72302541470096,309.5790838375108,62.85785306573375,0.0,42.95054822107854,0.0,0.0,3.3,0.0,0.36364,0.18182,0.09091,0.18182,0.54545,0.18182,0.09091,0.54545,0.63636,0.6981227322404372,0.09091,0.18182,0.36364,0.09091,0.0
127017,ADVENTIST HEALTH CASTLE HOME CARE,"46 001 KAMEHAMEHA HIGHWAY, SUITE 212",KANEOHE,HI,96744,598,494,17.5,6.2,6.7,2.3,1.0,1.0,0.2,3340660,2421343,2091304,0.2,89.0,46765.0,82,216.0,278.0,427.0,67.0,161.0,62.85785306573375,238.0,22.0,1.333392101551481,70.0,2.48,0.18219000000000002,0.46356,0.25911,0.14372000000000001,0.38259,0.6498,0.22671999999999998,0.23076999999999998,0.47571,0.6963600000000001,0.6981227322404372,0.50607,0.18825999999999998,0.45951000000000003,0.03441,0.16397
743121,GREEN APPLE HOME HEALTH,8006 WEST AVENUE SUITE 3,SAN ANTONIO,TX,78213,154,83,26.8,21.5,4.0,0.7,0.1,1.8,0.0,891603,434001,450438,8.2,82.65297817240103,37005.32767333738,81,28.0,55.0,69.0,14.0,61.0,62.85785306573375,11.322109724511419,12.0,0.0,5.6916133884919144,2.29,0.19277,0.51807,0.25301,0.13253,0.39759,0.57831,0.22891999999999998,0.39759,0.50602,0.6747,0.6981227322404372,0.49398000000000003,0.21686999999999998,0.60241,0.10843,0.13253
148228,"PHYSICIANS PREFERRED HOME CARE, INC",9732 SOUTHWEST HWY,OAK LAWN,IL,60453,259,105,14.5,7.8,5.4,0.8,0.1,0.4,0.0,784629,755048,743290,0.0,11.0,5380.0,74,31.0,74.0,37.0,68.0,309.5790838375108,85.0,0.0,12.0,0.0,5.6916133884919144,3.77,0.17143,0.35238,0.38095,0.07619,0.67619,0.65714,0.34286,0.32381,0.71429,0.71429,0.6981227322404372,0.70476,0.06667000000000001,0.5990698110211211,0.07619,0.18095
368459,UNITED HEARTS HEALTH CARE,3515 SPRINGDALE ROAD,CINCINNATI,OH,45251,366,115,13.3,10.7,1.2,0.1,0.1,1.3,0.0,663479,732556,781538,0.1,13.0,3974.0,68,33.0,82.0,28.0,87.0,52.0,55.0,11.322109724511419,42.95054822107854,0.0,5.6916133884919144,2.4,0.09565,0.2,0.50435,0.03478,0.46087,0.50435,0.48696000000000006,0.47826,0.6,0.64348,0.6981227322404372,0.42608999999999997,0.11304000000000002,0.63478,0.03478,0.08696
517087,GENTIVA HEALTH SERVICES,39 12TH STREET,PARKERSBURG,WV,26101,527,305,17.6,5.6,8.3,1.7,1.1,0.7,0.1,1469109,1432511,1942337,0.0,54.0,16919.0,80,95.0,210.0,240.0,65.0,296.0,62.85785306573375,11.322109724511419,0.0,1.333392101551481,0.0,2.25,0.21311,0.42623,0.48197,0.09508,0.45902,0.5442600000000001,0.48197,0.4623,0.45902,0.6590199999999999,0.6981227322404372,0.6459,0.14754,0.72131,0.0918,0.12130999999999999
197274,LAMM FAMILY CARE HOME HEALTH,"1708 N PARKERSON AVENUE, SUITE 4",CROWLEY,LA,70526,590,388,17.1,7.3,6.8,1.1,0.5,1.4,0.0,2235558,1637765,1971307,0.3,33.0,11765.0,75,166.0,222.0,271.0,117.0,311.0,62.0,11.322109724511419,42.95054822107854,1.333392101551481,5.6916133884919144,1.83,0.21134,0.25,0.28351,0.1701,0.39175,0.42526,0.26546,0.34278000000000003,0.45876000000000006,0.69072,0.6981227322404372,0.56701,0.12370999999999999,0.69845,0.05412,0.10567
107680,FIRST HEALTH SYSTEMS INC,7450 GRIFFIN RD STE 240,DAVIE,FL,33314,333,117,29.1,15.1,5.0,1.3,0.0,7.8,0.2,1130241,1143606,1078418,8.9,13.0,5780.0,79,43.0,74.0,62.0,55.0,72.0,19.0,11.322109724511419,21.0,0.0,5.6916133884919144,2.75,0.16239,0.41026,0.33333,0.09402,0.29915,0.47008999999999995,0.30769,0.4188,0.47863,0.7350399999999999,0.6981227322404372,0.52991,0.1453,0.64103,0.16239,0.05127999999999999
